	Microbiome	Metabolite	Correlation	P_value	Site
299	Gut_Ihubacter	Hydrocinnamic acid	0.307192807	0.006576515	Gut
300	Gut_Unclassified_Clostridiales_Incertae_Sedis_XIII	Hydrocinnamic acid	0.301724591	0.007658285	Gut
301	Gut_Erysipelatoclostridium	Hydrocinnamic acid	-0.336268994	0.002789054	Gut
302	Gut_Faecalimonas	Hydrocinnamic acid	-0.326778485	0.003723865	Gut
2249	Skin_Gemella	Hydroquinone	-0.303533462	0.005003771	Skin
2876	Nasal_Cutibacterium	Hydroquinone	0.300637845	0.005457736	Nasal
2877	Nasal_Unclassified_Alphaproteobacteria	Hydroquinone	0.33798054	0.001664813	Nasal
2878	Nasal_Leptotrichia	Hydroquinone	-0.314893186	0.003529558	Nasal
2879	Nasal_Parvimonas	Hydroquinone	-0.323907299	0.002650113	Nasal
1049	Gut_Parabacteroides	Hydroxyclomipramine	0.316473001	0.005046095	Gut
1050	Gut_Cuneatibacter	Hydroxyclomipramine	0.302408118	0.00751503	Gut
2248	Skin_Capnocytophaga	Hydroxyclomipramine	0.321150147	0.00289554	Skin
1107	Gut_Coprobacter	Hydroxyisocaproic acid	0.386639676	0.00051395	Gut
2489	Nasal_Anaerococcus	Hydroxyoctanoic acid	0.30442442	0.004870999	Nasal
1178	Gut_Lawsonibacter	Hydroxyphenyllactic acid	-0.380225038	0.000647355	Gut
1179	Gut_Unclassified_Eggerthellaceae	Hydroxyphenyllactic acid	-0.306167517	0.006768442	Gut
1674	Oral_Granulicatella	Hydroxyphenyllactic acid	0.358080907	0.000766076	Oral
266	Gut_Neglecta	Hydroxypropionic acid	0.365529208	0.001079474	Gut
1313	Gut_Terrisporobacter	Hyodeoxycholic acid	0.317840055	0.004849617	Gut
744	Gut_Unclassified_Burkholderiales	Hypoxanthine	0.324228403	0.004018517	Gut
2055	Skin_Schaalia	Hypoxanthine	0.335607978	0.001803277	Skin
2056	Skin_Capnocytophaga	Hypoxanthine	0.323357295	0.002697526	Skin
2057	Skin_Oribacterium	Hypoxanthine	0.334384603	0.001878659	Skin
429	Gut_Clostridium_IV	Ibuprofen	0.375151165	0.00077444	Gut
970	Gut_Roseburia	Imazethapyr	-0.374914559	0.000780886	Gut
218	Gut_Aestuariispira	Imidocarb	0.308191808	0.006394138	Gut
219	Gut_Unclassified_Proteobacteria	Imidocarb	0.312371839	0.005678492	Gut
220	Gut_Anaerotruncus	Imidocarb	0.31389663	0.005435628	Gut
221	Gut_Intestinimonas	Imidocarb	0.412981755	0.000189437	Gut
1370	Oral_Unclassified_Neisseriaceae	Imidocarb	0.355403557	0.000844372	Oral
1785	Skin_Delftia	Imidocarb	-0.333643819	0.001925674	Skin
1786	Skin_Unclassified_Clostridiales	Imidocarb	0.333068407	0.001962923	Skin
1787	Skin_Brucella	Imidocarb	-0.348660265	0.001152931	Skin
1788	Skin_Unclassified_Bacillales	Imidocarb	-0.303828611	0.004959436	Skin
1789	Skin_Rhodococcus	Imidocarb	-0.316354322	0.003371322	Skin
1790	Skin_Unclassified_Xanthomonadaceae	Imidocarb	0.314872937	0.003531797	Skin
2450	Nasal_Eubacterium	Imidocarb	0.327967277	0.002322622	Nasal
2451	Nasal_Mogibacterium	Imidocarb	0.336208729	0.001767268	Nasal
114	Gut_Desulfovibrio	Indirubin	0.305591156	0.006878484	Gut
1347	Oral_Aggregatibacter	Indirubin	0.35137776	0.000975876	Oral
1747	Skin_Lautropia	Indirubin	0.308190746	0.004343651	Skin
2408	Nasal_Eikenella	Indirubin	0.305308346	0.004742375	Nasal
709	Gut_Ruminococcus2	Indole	-0.359666649	0.001315051	Gut
1507	Oral_Unclassified_Pasteurellaceae	Indole	0.365839359	0.000575069	Oral
1508	Oral_Tannerella	Indole	0.352882548	0.000924686	Oral
1509	Oral_Unclassified_Clostridia	Indole	0.32323785	0.002549314	Oral
1510	Oral_Treponema	Indole	0.322807909	0.002585232	Oral
47	Gut_Parabacteroides	Indole-3-carboxaldehyde	-0.413428677	0.000186122	Gut
280	Gut_Butyrivibrio	Indole-3-carboxaldehyde	0.351280299	0.001733066	Gut
281	Gut_Eggerthella	Indole-3-carboxaldehyde	-0.307718597	0.006479964	Gut
1323	Oral_Haemophilus	Indole-3-carboxaldehyde	-0.32214188	0.00264177	Oral
2481	Nasal_Gemella	Indole-3-carboxaldehyde	0.316999089	0.003303535	Nasal
2482	Nasal_Leptotrichia	Indole-3-carboxaldehyde	0.31373899	0.003659207	Nasal
81	Gut_Dysosmobacter	Indole-3-propionic acid	-0.304222094	0.007146208	Gut
82	Gut_Anaerobutyricum	Indole-3-propionic acid	0.303696304	0.007251439	Gut
83	Gut_Lacrimispora	Indole-3-propionic acid	-0.33016983	0.00336187	Gut
1729	Skin_Streptococcus	Indole-3-propionic acid	-0.324066012	0.002636571	Skin
54	Gut_Dialister	Indoleacetaldehyde	-0.315684316	0.005162627	Gut
55	Gut_Negativibacillus	Indoleacetaldehyde	-0.304458699	0.007099295	Gut
56	Gut_Schaalia	Indoleacetaldehyde	-0.333692623	0.003019408	Gut
57	Gut_Senegalimassilia	Indoleacetaldehyde	-0.354750513	0.001547404	Gut
58	Gut_Unclassified_Enterobacteriaceae	Indoleacetaldehyde	0.318473096	0.004760953	Gut
1325	Oral_Bacteroides	Indoleacetaldehyde	-0.311013831	0.003765476	Oral
1326	Oral_Unclassified_Bacillaceae_1	Indoleacetaldehyde	-0.302493172	0.004896013	Oral
2358	Nasal_Brochothrix	Indoleacetaldehyde	0.388704958	0.000258231	Nasal
2359	Nasal_Arachnia	Indoleacetaldehyde	0.333302959	0.001947662	Nasal
821	Gut_Cuneatibacter	Indoleacetic acid	-0.351858668	0.001700793	Gut
822	Gut_Terrisporobacter	Indoleacetic acid	-0.316052369	0.005107952	Gut
2730	Nasal_Unclassified_Neisseriales	Indoleacetic acid	0.310794324	0.004009434	Nasal
803	Gut_Unclassified_Clostridiales_Incertae_Sedis_XIII	Indoleacrylic acid	-0.308743888	0.006295275	Gut
427	Gut_Parabacteroides	Indolelactic acid	-0.305194805	0.006955069	Gut
428	Gut_Faecalibacillus	Indolelactic acid	0.312766181	0.00561478	Gut
1411	Oral_Kingella	Indolelactic acid	0.350666165	0.001000969	Oral
431	Gut_Ruthenibacterium	Indoxyl sulfate	0.328566171	0.003528937	Gut
432	Gut_Lacrimispora	Indoxyl sulfate	0.324280982	0.004012238	Gut
433	Gut_Harryflintia	Indoxyl sulfate	0.305131087	0.00696745	Gut
1412	Oral_Fusobacterium	Indoxyl sulfate	0.364178229	0.000611857	Oral
1413	Oral_Leptotrichia	Indoxyl sulfate	0.31215556	0.00363321	Oral
1414	Oral_Unclassified_Carnobacteriaceae	Indoxyl sulfate	-0.311960133	0.003655551	Oral
2497	Nasal_Bergeyella	Indoxyl sulfate	0.309013962	0.004235391	Nasal
1534	Oral_Mogibacterium	Isobutyrylglycine	-0.318839164	0.002938856	Oral
2693	Nasal_Unclassified_Streptophyta	Isobutyrylglycine	0.303634707	0.004988523	Nasal
2053	Skin_Anaerococcus	Isoleucine	0.40042523	0.00016054	Skin
2054	Skin_Aggregatibacter	Isoleucine	-0.308271742	0.004332891	Skin
2682	Nasal_Agrobacterium	Isoleucine	0.341421188	0.001481039	Nasal
921	Gut_Cuneatibacter	Isoliquiritigenin	-0.310873337	0.005926461	Gut
743	Gut_Cuneatibacter	iso-nLc8Cer	0.320469005	0.004490743	Gut
2683	Nasal_Veillonella	iso-nLc8Cer	-0.30788701	0.004384213	Nasal
964	Gut_Unclassified_Ruminococcaceae	Isopentenyl pyrophosphate	-0.371654661	0.000874799	Gut
2788	Nasal_Peptoniphilus	Isopentenyl pyrophosphate	0.304667409	0.004835335	Nasal
2789	Nasal_Rhodococcus	Isopentenyl pyrophosphate	-0.313063816	0.003737004	Nasal
839	Gut_Agathobacter	Isopropylbenzene	0.35701141	0.001436301	Gut
37	Gut_Parabacteroides	Isoquinoline	-0.380093591	0.000650392	Gut
38	Gut_Bilophila	Isoquinoline	-0.30335454	0.007320567	Gut
1319	Oral_Bacteroides	Isoquinoline	-0.388149248	0.00024199	Oral
2349	Nasal_Brochothrix	Isoquinoline	0.312132349	0.003846753	Nasal
2350	Nasal_Amniculibacterium	Isoquinoline	0.302311454	0.005191098	Nasal
2351	Nasal_Arachnia	Isoquinoline	0.321831749	0.002833044	Nasal
559	Gut_Massilimicrobiota	Isorhamnetin	0.312792471	0.005610555	Gut
1443	Oral_Catonella	Isorhynchophylline	-0.315321477	0.003287878	Oral
1444	Oral_Pelomonas	Isorhynchophylline	0.308160583	0.004114986	Oral
1445	Oral_Anaeroglobus	Isorhynchophylline	0.321254257	0.002718842	Oral
556	Gut_Howardella	Isoxaben	0.301487986	0.007708428	Gut
1435	Oral_Schaalia	Isoxaben	0.349501661	0.001043301	Oral
1436	Oral_Aggregatibacter	Isoxaben	-0.373304671	0.000433415	Oral
1095	Gut_Unclassified_Ruminococcaceae	Itaconic acid	0.41064199	0.000207697	Gut
1096	Gut_Butyrivibrio	Itaconic acid	0.301908618	0.007619482	Gut
1097	Gut_Beduinibacterium	Itaconic acid	0.351569483	0.001716861	Gut
1098	Gut_Monoglobus	Itaconic acid	0.344997108	0.00212095	Gut
1099	Gut_Schaalia	Itaconic acid	0.33755718	0.002679882	Gut
1100	Gut_Bilophila	Itaconic acid	0.308165519	0.006398879	Gut
1101	Gut_Senegalimassilia	Itaconic acid	0.344445029	0.002158504	Gut
1102	Gut_Coprobacillus	Itaconic acid	0.31049418	0.005990699	Gut
1649	Oral_Phocaeicola	Itaconic acid	0.385032172	0.000274122	Oral
1650	Oral_Pseudomonas	Itaconic acid	0.306540029	0.004326112	Oral
1651	Oral_Unclassified_Bacillaceae_1	Itaconic acid	0.31757044	0.003060713	Oral
1652	Oral_Sphingomonas	Itaconic acid	0.341834491	0.001365087	Oral
1653	Oral_Schwartzia	Itaconic acid	0.341424091	0.00138461	Oral
2256	Skin_Veillonella	Itaconic acid	-0.313475752	0.003689365	Skin
2257	Skin_Leptotrichia	Itaconic acid	-0.345570517	0.001283924	Skin
2888	Nasal_Deinococcus	Itaconic acid	0.305693082	0.004687339	Nasal
2242	Skin_Granulicatella	Ketoconazole	-0.304213345	0.004902167	Skin
379	Gut_Parabacteroides	Kynurenic acid	-0.319259688	0.004652788	Gut
380	Gut_Unclassified_Eggerthellaceae	Kynurenic acid	-0.33229928	0.003150944	Gut
1678	Oral_Parvimonas	Kynurenic acid	0.314285714	0.003397481	Oral
96	Gut_Lawsonibacter	"L,L-Cyclo(leucylprolyl)"	0.418055629	0.000154805	Gut
1336	Oral_Campylobacter	"L,L-Cyclo(leucylprolyl)"	0.327301153	0.002231352	Oral
2393	Nasal_Schaalia	"L,L-Cyclo(leucylprolyl)"	0.318964863	0.003104322	Nasal
654	Gut_Phascolarctobacterium	L-Alanine	0.354645355	0.001552755	Gut
1058	Gut_Oxalobacter	L-Alanine	-0.367842684	0.000997556	Gut
1477	Oral_Oribacterium	L-Alanine	-0.367187805	0.000546706	Oral
1478	Oral_Catonella	L-Alanine	-0.327555208	0.002212712	Oral
1643	Oral_Unclassified_Flavobacteriales	L-Alanine	0.300060094	0.005269888	Oral
811	Gut_Klebsiella	L-Arginine	-0.351059145	0.001745552	Gut
812	Gut_Escherichia/Shigella	L-Arginine	-0.352373629	0.001672514	Gut
813	Gut_Citrobacter	L-Arginine	-0.346048688	0.002051038	Gut
814	Gut_Mediterranea	L-Arginine	0.347941532	0.001930397	Gut
815	Gut_Mailhella	L-Arginine	-0.306577019	0.006691203	Gut
816	Gut_Fournierella	L-Arginine	-0.312398128	0.005674224	Gut
817	Gut_Unclassified_Peptococcaceae_1	L-Arginine	-0.40855466	0.000225341	Gut
1552	Oral_Unclassified_Flavobacteriaceae	L-Arginine	-0.327840179	0.002191969	Oral
1553	Oral_Rhizobium	L-Arginine	-0.317138949	0.003103176	Oral
1554	Oral_Schwartzia	L-Arginine	0.330226014	0.002025058	Oral
1703	Oral_Slackia	L-Arginine	0.341324708	0.001389376	Oral
2090	Skin_Unclassified_Bacteroidales	L-Arginine	0.365811308	0.000621858	Skin
2091	Skin_Unclassified_Pasteurellaceae	L-Arginine	0.356881426	0.000861273	Skin
2092	Skin_Faecalibacterium	L-Arginine	0.375822618	0.000426787	Skin
2093	Skin_Roseburia	L-Arginine	0.354493819	0.000938155	Skin
2094	Skin_Dialister	L-Arginine	-0.351685735	0.001036531	Skin
2095	Skin_Klebsiella	L-Arginine	0.43934393	2.90E-05	Skin
2096	Skin_Bifidobacterium	L-Arginine	-0.332928348	0.001972087	Skin
2097	Skin_Ruminococcus2	L-Arginine	0.356579494	0.000870668	Skin
2098	Skin_Unclassified_Clostridia	L-Arginine	0.366925012	0.00059671	Skin
2099	Skin_Methylobacterium	L-Arginine	-0.314560669	0.003566482	Skin
2100	Skin_Lactococcus	L-Arginine	0.349924066	0.001102938	Skin
2101	Skin_Unclassified_Neisseriaceae	L-Arginine	-0.320787288	0.002929312	Skin
2102	Skin_Xanthomonas	L-Arginine	-0.381289865	0.000345699	Skin
2103	Skin_Enterococcus	L-Arginine	0.389444056	0.000250736	Skin
2104	Skin_Neobacillus	L-Arginine	-0.31211052	0.003849359	Skin
2105	Skin_Dietzia	L-Arginine	0.319450843	0.003056761	Skin
2106	Skin_Anoxybacillus	L-Arginine	-0.393331916	0.000214501	Skin
2107	Skin_Lacticaseibacillus	L-Arginine	-0.370772354	0.000516815	Skin
2108	Skin_Leuconostoc	L-Arginine	0.399447195	0.000167149	Skin
2109	Skin_Unclassified_Micrococcaceae	L-Arginine	-0.35764077	0.000838051	Skin
2110	Skin_Unclassified_Micrococcales	L-Arginine	0.31162454	0.003907788	Skin
2111	Skin_Comamonas	L-Arginine	-0.357559773	0.000840501	Skin
2112	Skin_Marmoricola	L-Arginine	0.32255909	0.00276769	Skin
2717	Nasal_Ruminococcus	L-Arginine	-0.376798388	0.000411145	Nasal
2718	Nasal_Rothia	L-Arginine	-0.371914549	0.000495054	Nasal
2719	Nasal_Unclassified_Clostridiales	L-Arginine	-0.303799775	0.004963752	Nasal
2720	Nasal_Pelomonas	L-Arginine	-0.313517837	0.003684529	Nasal
2721	Nasal_Elizabethkingia	L-Arginine	-0.382061264	0.000335473	Nasal
2722	Nasal_Massilia	L-Arginine	-0.309387007	0.004187128	Nasal
2723	Nasal_Brochothrix	L-Arginine	-0.310441535	0.004053336	Nasal
2724	Nasal_Curtobacterium	L-Arginine	-0.317851159	0.003215824	Nasal
2725	Nasal_Bergeyella	L-Arginine	-0.32248985	0.002773852	Nasal
2726	Nasal_Nocardioides	L-Arginine	-0.363818607	0.000669282	Nasal
2727	Nasal_Aggregatibacter	L-Arginine	-0.320787288	0.002929312	Nasal
2728	Nasal_Aureimonas	L-Arginine	-0.331055291	0.002098403	Nasal
1798	Skin_Unclassified_Burkholderiales	Lathosterol	0.36194555	0.000716844	Skin
1799	Skin_Unclassified_Comamonadaceae	Lathosterol	0.331144736	0.002092209	Skin
1800	Skin_Luteimonas	Lathosterol	0.385602916	0.000291993	Skin
1801	Skin_Tessaracoccus	Lathosterol	0.36028511	0.000761563	Skin
1802	Skin_Flavobacterium	Lathosterol	0.307817697	0.004393516	Skin
1803	Skin_Pseudoxanthomonas	Lathosterol	0.34702845	0.00122052	Skin
1804	Skin_Massilia	Lathosterol	0.383173028	0.000321223	Skin
2455	Nasal_Schaalia	Lathosterol	0.328289604	0.002298251	Nasal
2456	Nasal_Unclassified_Clostridiales_Incertae_Sedis_XIII	Lathosterol	0.324806747	0.002574185	Nasal
2457	Nasal_Oribacterium	Lathosterol	0.340390203	0.001534081	Nasal
2458	Nasal_Fudania	Lathosterol	0.349186743	0.00113186	Nasal
786	Gut_Phascolarctobacterium	L-Carnitine	-0.38855881	0.000479225	Gut
1542	Oral_Catonella	L-Carnitine	0.311178425	0.003746147	Oral
906	Gut_Unclassified_Ruminococcaceae	L-Cystine	-0.321336558	0.0043776	Gut
2780	Nasal_Finegoldia	L-Cystine	0.373678109	0.000463097	Nasal
2967	Nasal_Finegoldia	L-Cystine	0.308617539	0.004287221	Nasal
132	Gut_Anaerobutyricum	Leflunomide	-0.316867343	0.004988707	Gut
133	Gut_Sellimonas	Leflunomide	0.304184659	0.007153656	Gut
134	Gut_Clostridium_XlVa	Leflunomide	0.353278301	0.001623859	Gut
1748	Skin_Halomonas	Leflunomide	-0.361822222	0.000720082	Skin
1597	Oral_Aggregatibacter	Lenticin	-0.330642955	0.001997093	Oral
2178	Skin_Unclassified_Candidatus_Saccharibacteria	Lenticin	-0.333238838	0.001951823	Skin
1716	Skin_Aerococcus	Leucine	0.301511608	0.005317052	Skin
1717	Skin_Dermabacter	Leucine	0.306734366	0.004541222	Skin
1388	Oral_Solobacterium	Levulinic acid	0.329548564	0.002071247	Oral
506	Gut_Beduinibacterium	Linoleic acid	-0.315184815	0.005237657	Gut
507	Gut_Catabacter	Linoleic acid	-0.327225406	0.003674254	Gut
961	Gut_Subdoligranulum	Linoleic acid	0.316131237	0.005096303	Gut
962	Gut_Eisenbergiella	Linoleic acid	-0.377753825	0.000706664	Gut
2787	Nasal_Lancefieldella	Linoleic acid	-0.340844086	0.001510522	Nasal
1105	Gut_Phascolarctobacterium	L-Norleucine	0.393501236	0.000399436	Gut
1655	Oral_Oribacterium	L-Norleucine	-0.318155169	0.003004001	Oral
1656	Oral_Catonella	L-Norleucine	-0.333242134	0.001830474	Oral
1022	Gut_Phocaeicola	Loratadine	-0.327120248	0.003685874	Gut
1023	Gut_Faecalibacterium	Loratadine	0.314659025	0.005317677	Gut
1024	Gut_Unclassified_Clostridiales	Loratadine	0.301750881	0.007652731	Gut
1025	Gut_Unclassified_Ruminococcaceae	Loratadine	0.388295915	0.000483852	Gut
2239	Skin_Massilia	Loratadine	0.321757619	0.002839782	Skin
807	Gut_Anaerotignum	L-Pipecolic acid	0.334560177	0.002940008	Gut
703	Gut_Fusicatenibacter	L-prolinamide	-0.306167517	0.006768442	Gut
704	Gut_Negativibacillus	L-prolinamide	-0.307692308	0.006484761	Gut
1504	Oral_Kingella	L-prolinamide	-0.311453544	0.003714036	Oral
2027	Skin_Pelomonas	L-prolinamide	-0.314508454	0.003572311	Skin
716	Gut_Phascolarctobacterium	L-Threonine	0.332746201	0.003108206	Gut
1083	Gut_Harryflintia	L-Threonine	-0.310204994	0.006040106	Gut
1514	Oral_Catonella	L-Threonine	-0.301055306	0.005114005	Oral
1648	Oral_Actinomyces	L-Threonine	0.336075826	0.001663197	Oral
871	Gut_Anaerotignum	L-Tryptophan	-0.305641727	0.006868766	Gut
872	Gut_Unclassified_Clostridiales_Incertae_Sedis_XIII	L-Tryptophan	-0.32280877	0.004191382	Gut
2765	Nasal_Kocuria	L-Tryptophan	-0.318549755	0.003145471	Nasal
838	Gut_Phascolarctobacterium	L-Tyrosine	0.310268679	0.006029195	Gut
1176	Gut_Phascolarctobacterium	L-Tyrosine	0.342762501	0.002276668	Gut
1177	Gut_Anaerobutyricum	L-Tyrosine	-0.326068668	0.003803884	Gut
1564	Oral_Catonella	L-Tyrosine	-0.303595857	0.004734469	Oral
1673	Oral_Catonella	L-Tyrosine	-0.333906586	0.001789943	Oral
2138	Skin_Negativicoccus	L-Tyrosine	0.324553632	0.002595352	Skin
2921	Nasal_Unclassified_Alphaproteobacteria	L-Tyrosine	-0.334497666	0.001871575	Nasal
710	Gut_Phocaeicola	L-Valine	0.335059677	0.002895145	Gut
711	Gut_Oscillibacter	L-Valine	-0.331720911	0.00320703	Gut
712	Gut_Unclassified_Ruminococcaceae	L-Valine	-0.3159735	0.005119625	Gut
713	Gut_Barnesiella	L-Valine	-0.300462695	0.007929064	Gut
714	Gut_Intestinimonas	L-Valine	-0.376649666	0.000734729	Gut
715	Gut_Catabacter	L-Valine	-0.315500289	0.005190158	Gut
1078	Gut_Lawsonibacter	L-Valine	-0.316841054	0.004992515	Gut
1079	Gut_Unclassified_Clostridiales_Incertae_Sedis_XIII	L-Valine	-0.310084652	0.006060772	Gut
1080	Gut_Unclassified_Eggerthellaceae	L-Valine	-0.310584153	0.0059754	Gut
1511	Oral_Moraxella	L-Valine	-0.301566363	0.005035558	Oral
1512	Oral_Unclassified_Burkholderiales	L-Valine	-0.342223677	0.001346803	Oral
2029	Skin_Gemella	L-Valine	-0.331355675	0.002077667	Skin
2030	Skin_Aggregatibacter	L-Valine	-0.367520502	0.000583648	Skin
2031	Skin_Unclassified_Erythrobacteraceae	L-Valine	-0.385789063	0.000289858	Skin
2032	Skin_Deinococcus	L-Valine	-0.401603742	0.000152898	Skin
2033	Skin_Micrococcus	L-Valine	-0.310134656	0.004091872	Skin
2034	Skin_Unclassified_Burkholderiales	L-Valine	0.316091081	0.003399353	Skin
2035	Skin_Stenotrophobacter	L-Valine	-0.321050527	0.002904777	Skin
2036	Skin_Cardiobacterium	L-Valine	-0.320117445	0.002992583	Skin
2037	Skin_Luteimonas	L-Valine	0.345226283	0.001299323	Skin
2038	Skin_Blastococcus	L-Valine	0.313416591	0.003696173	Skin
2039	Skin_Unclassified_Aerococcaceae	L-Valine	-0.311452422	0.00392867	Skin
2040	Skin_Pseudoxanthomonas	L-Valine	0.369747899	0.000537073	Skin
2041	Skin_Unclassified_Yersiniaceae	L-Valine	-0.367260983	0.000589308	Skin
2042	Skin_Caulobacter	L-Valine	0.301834068	0.005265951	Skin
2673	Nasal_Unclassified_SR1	L-Valine	-0.319693833	0.003033226	Nasal
2674	Nasal_Enterococcus	L-Valine	-0.307281094	0.004466136	Nasal
2675	Nasal_Roseomonas	L-Valine	0.308737471	0.004271481	Nasal
2676	Nasal_Chryseobacterium	L-Valine	0.331630716	0.002058843	Nasal
2677	Nasal_Acidovorax	L-Valine	0.319734331	0.003029319	Nasal
2678	Nasal_Unclassified_Chitinophagaceae	L-Valine	-0.371815186	0.000496913	Nasal
766	Gut_Cuneatibacter	Lysine	0.312398128	0.005674224	Gut
1136	Gut_Phascolarctobacterium	Lysine	0.389163468	0.000468737	Gut
1661	Oral_Catonella	Lysine	-0.302638265	0.004874481	Oral
1040	Gut_Agathobacter	LysoPC(0:0/18:0)	0.392055313	0.000421419	Gut
1041	Gut_Unclassified_Ruminococcaceae	LysoPC(0:0/18:0)	-0.318970503	0.004692298	Gut
1042	Gut_Barnesiella	LysoPC(0:0/18:0)	-0.311951207	0.005747154	Gut
1043	Gut_Odoribacter	LysoPC(0:0/18:0)	-0.343025396	0.00225783	Gut
1044	Gut_Eisenbergiella	LysoPC(0:0/18:0)	-0.336663337	0.002755219	Gut
1045	Gut_Beduinibacterium	LysoPC(0:0/18:0)	-0.339607761	0.002513976	Gut
1638	Oral_Bacteroides	LysoPC(0:0/18:0)	-0.329208175	0.002094812	Oral
1639	Oral_Anaeroglobus	LysoPC(0:0/18:0)	-0.308258297	0.004102554	Oral
242	Gut_Parabacteroides	LysoPC(14:0/0:0)	-0.366685946	0.001037782	Gut
1812	Skin_Fusobacterium	LysoPC(14:0/0:0)	-0.324086261	0.002634847	Skin
1813	Skin_Unclassified_Weeksellaceae	LysoPC(14:0/0:0)	-0.317587919	0.003242696	Skin
1814	Skin_Eubacterium	LysoPC(14:0/0:0)	-0.334880707	0.001847754	Skin
1815	Skin_Tannerella	LysoPC(14:0/0:0)	-0.329008449	0.002244726	Skin
2463	Nasal_Unclassified_Alphaproteobacteria	LysoPC(14:0/0:0)	0.319401837	0.003061527	Nasal
2464	Nasal_Negativicoccus	LysoPC(14:0/0:0)	-0.313386217	0.003699673	Nasal
2465	Nasal_Novosphingobium	LysoPC(14:0/0:0)	0.301115223	0.005380471	Nasal
2466	Nasal_Aerococcus	LysoPC(14:0/0:0)	0.323917423	0.002649247	Nasal
243	Gut_Parabacteroides	LysoPC(15:0/0:0)	-0.357432042	0.001416444	Gut
1028	Gut_Anaerotignum	LysoPC(15:0/0:0)	0.368210737	0.000985057	Gut
2241	Skin_Dermabacter	LysoPC(15:0/0:0)	0.308475795	0.004305889	Skin
2468	Nasal_Negativicoccus	LysoPC(15:0/0:0)	-0.308526418	0.004299214	Nasal
2857	Nasal_Corynebacterium	LysoPC(15:0/0:0)	0.376794573	0.000411205	Nasal
1818	Skin_Dermabacter	LysoPC(16:0/0:0)	0.309690745	0.004148194	Skin
1378	Oral_Lautropia	LysoPC(16:1/0:0)	-0.303830369	0.00470073	Oral
2470	Nasal_Cutibacterium	LysoPC(17:0/0:0)	-0.326556647	0.002432035	Nasal
2471	Nasal_Corynebacterium	LysoPC(17:0/0:0)	0.374607674	0.000447024	Nasal
1640	Oral_Fusobacterium	LysoPC(18:0/0:0)	0.301211647	0.005089892	Oral
1380	Oral_Rothia	LysoPC(18:1/0:0)	0.320969318	0.002744008	Oral
1381	Oral_Lautropia	LysoPC(18:1/0:0)	-0.343502052	0.001288296	Oral
1379	Oral_Lautropia	LysoPC(18:2/0:0)	-0.310728943	0.003799142	Oral
2472	Nasal_Gemella	LysoPC(18:2/0:0)	-0.309567682	0.00416393	Nasal
2473	Nasal_Capnocytophaga	LysoPC(18:2/0:0)	-0.336843171	0.001729945	Nasal
2476	Nasal_Corynebacterium	LysoPC(20:1(11Z)/0:0)	0.326394654	0.002444892	Nasal
1820	Skin_Dermabacter	"LysoPC(20:2(11Z,14Z)/0:0)"	0.377343208	0.000402642	Skin
2475	Nasal_Gemella	"LysoPC(20:2(11Z,14Z)/0:0)"	-0.351159259	0.001055986	Nasal
1382	Oral_Unclassified_Candidatus_Saccharibacteria	LysoPC(20:3/0:0)	-0.302149697	0.004947323	Oral
252	Gut_Fusicatenibacter	LysoPC(20:4/0:0)	-0.306088648	0.006783408	Gut
251	Gut_Fusicatenibacter	"LysoPC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)"	-0.391292918	0.00043345	Gut
254	Gut_Fusicatenibacter	"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z)/0:0)"	-0.309243388	0.006206993	Gut
1384	Oral_Unclassified_Flavobacteriaceae	"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z)/0:0)"	-0.393357404	0.000195941	Oral
253	Gut_Fusicatenibacter	"LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)"	-0.335480309	0.002857841	Gut
1383	Oral_Unclassified_Lachnospiraceae	"LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)"	0.306214579	0.004369656	Oral
595	Gut_Anaerobutyricum	LysoPE(0:0/15:0)	0.325279983	0.003894588	Gut
1865	Skin_Lautropia	LysoPE(0:0/15:0)	-0.317059836	0.003297212	Skin
1866	Skin_Aggregatibacter	LysoPE(0:0/15:0)	-0.311086362	0.003973413	Skin
1817	Skin_Dermabacter	LysoPE(0:0/18:0)	0.302137806	0.005218216	Skin
2469	Nasal_Corynebacterium	LysoPE(0:0/18:0)	0.317363572	0.003265757	Nasal
1377	Oral_Rothia	LysoPE(0:0/18:1(11Z))	0.364060973	0.000614534	Oral
603	Gut_Fusicatenibacter	"LysoPE(0:0/18:3(6Z,9Z,12Z))"	-0.357642358	0.001406608	Gut
244	Gut_Parabacteroides	LysoPE(0:0/20:1(11Z))	-0.303433409	0.007304563	Gut
245	Gut_Anaerotignum	LysoPE(0:0/20:1(11Z))	0.323597455	0.004094547	Gut
1819	Skin_Dermabacter	LysoPE(0:0/20:1(11Z))	0.30373749	0.004973086	Skin
2537	Nasal_Capnocytophaga	"LysoPE(0:0/20:2(11Z,14Z))"	-0.31653336	0.003352376	Nasal
1450	Oral_Unclassified_Neisseriaceae	"LysoPE(0:0/20:3(11Z,14Z,17Z))"	-0.308422904	0.004081687	Oral
1868	Skin_Dermabacter	"LysoPE(0:0/20:3(11Z,14Z,17Z))"	0.32777325	0.002337404	Skin
